year,samp_grp,district,bed_name,cpue,rnd_biomass,se,cv,l95,u95
2016,1,EKI,EK1,7.315596540018703,718.7212941658953,172.32151925356413,0.23976125467876963,452.1855792358124,1142.3634950068054
2016,1,KSH,KSH1,7.6827319282424815,1081.6449905458428,143.98171168199644,0.13311364906274592,834.2059682321448,1402.478440728847
2016,1,KSH,KSH2,1.1801982956317976,24.979097560757253,10.983547894438663,0.43970955586858645,10.957236692693616,56.94458671006787
2016,1,KSH,KSH3,2.4831987242329445,18.461663731143975,17.081935733524876,0.925265240570298,3.9522153844943353,86.23847502315328
2016,1,WKI,WK1,21.171223774242343,1030.5730425948066,389.2568009165885,0.3777090849732557,503.760603983839,2108.304594928565
2016,2,EKI,EK1,0.03953212689831071,3.8838365743734187,2.938605073400056,0.756624285581363,1.0388805155140344,14.51965487000885
2016,2,KSH,KSH1,0.5736731109355148,80.76692671954238,23.154188852539246,0.2866790875049707,46.55964332573004,140.10623762907974
2016,2,KSH,KSH2,1.0440623272062823,22.09775664591659,9.57394251136837,0.43325404767445136,9.801598143838353,49.81951326877455
2016,2,KSH,KSH3,0.31700919848270115,2.3568460973154446,2.3568460973154446,1,0.4609421591620975,12.050803806986195
2016,2,WKI,WK1,1.4630424883435167,71.2179968780106,34.16370233006762,0.4797060269553309,29.18814116364571,173.76930757185684
2017,1,KNE,KNE2,2.305239014101851,272.1579472530533,123.96769057529632,0.45549906525430534,116.20296807435064,637.4187293185424
2017,1,KNE,KNE3,0.3085591814838952,30.318744383752392,7.2984603442781975,0.2407243602142506,19.040630669750385,48.27709107701358
2017,1,KNE,KNE6,4.4014380201131225,125.89089856763995,33.46974616441514,0.2658631127843779,75.42927325069573,210.11097759743603
2017,1,KSH,KSH1,6.177872131558748,869.7771190959589,121.59204653301836,0.1397967868589144,662.1949622199364,1142.431277892452
2017,1,KSH,KSH2,2.3690355222235304,50.141039563899795,25.49977993766885,0.5085610541674531,19.58572730862372,128.36510020445243
2017,1,YAK,EK1,3.0918568747995483,103.17062612674872,16.20436513102841,0.15706374710880192,75.97564590579965,140.0998697475086
2017,1,YAK,YAK1,16.671661316703542,889.3172631999828,162.7398027424435,0.18299408937240863,623.1174560662167,1269.2393495416095
2017,1,YAK,YAK2,17.96168737049064,1412.4397384877448,233.97998917599352,0.16565661727027634,1023.089082525984,1949.963154658784
2017,1,YAK,YAK4,6.419402803221813,812.444240745771,124.26978792837451,0.15295792830570493,603.0387113960279,1094.565957122268
2017,1,YAK,YAK5,10.020680538756567,549.8728197476202,146.522904720689,0.2664668982692032,329.09369422439835,918.7660632932977
2017,2,KNE,KNE2,0.23453820526352792,27.68972592709937,9.513321212926343,0.3435686304000521,14.387516820304814,53.29070551186575
2017,2,KNE,KNE3,1.0452675796707174,102.70704118494719,50.24750995052257,0.4892314039116422,41.42745227132837,254.63154817915608
2017,2,KNE,KNE6,1.4526484893655338,41.54897167550066,15.397092754421784,0.37057698743241524,20.56887143331924,83.92862257358068
2017,2,KSH,KSH1,2.0080880499534217,282.71692935457776,62.64353185450508,0.22157686841575322,184.07600864562838,434.2166191660281
2017,2,KSH,KSH2,1.6606972902568382,35.14894046682532,20.069347115523048,0.5709801447490325,12.409087397241352,99.55994154856882
2017,2,YAK,EK1,0.014570655035730828,0.4862009025597841,0.1800586897900786,0.3703380410075201,0.24079679496115697,0.9817045849305471
2017,2,YAK,YAK1,0.8248226003577992,43.9985532120161,13.413262700472291,0.3048569037222138,24.52915111512009,78.92130778049285
2017,2,YAK,YAK2,2.3133249910954783,181.9112023310318,63.30801904035095,0.3480160552462655,93.7664484618237,352.9160598099716
2017,2,YAK,YAK4,1.2829268106427856,162.36814086225462,35.26935451503339,0.2172184415473121,106.59277989776787,247.32831991388028
2017,2,YAK,YAK5,0.7888945172455994,43.28963996043158,11.257194975003022,0.26004362672668424,26.220524263358858,71.47045989932984
2018,1,EKI,EK1,6.391147552335429,627.8987386595229,125.05046285029077,0.1991570537587896,426.58887402266777,924.2079435697381
2018,1,KAM,KAMN,4.955045637195823,447.35093471274956,79.83583212036471,0.17846354154066638,316.1740700496007,632.9515217898037
2018,1,KAM,KAMS,0.14699756730427904,10.00815738275809,3.9172998576764337,0.3914106970804737,4.775056719476977,20.97634019497603
2018,1,KSH,KSH1,8.765056990822792,1234.024572837219,137.98485335646103,0.1118169414075863,991.8336048746577,1535.3549616404919
2018,1,YAK,YAK1,19.049018275583908,1016.1327343253862,168.69233972805878,0.1660140787020843,735.5222442913704,1403.7994660003242
